datetime,frame_number,x,y,z
2024-08-29 23:57:23.991640,70,[-1.607449  -1.6024647 -1.605924  ...  0.         0.         0.       ],[-1.170142  -1.170142  -1.1763272 ...  0.         0.         0.       ],[3.0270002 3.0270002 3.0430002 ... 0.        0.        0.       ]
2024-08-29 23:57:24.030403,71,[-1.5840833 -1.5791714 -1.5821755 ...  0.         0.         0.       ],[-1.153133  -1.153133  -1.1589316 ...  0.         0.         0.       ],[2.983     2.983     2.9980001 ... 0.        0.        0.       ]
2024-08-29 23:57:24.069010,72,[-1.607449  -1.6024647 -1.59748   ...  0.         0.         0.       ],[-1.170142 -1.170142 -1.170142 ...  0.        0.        0.      ],[3.0270002 3.0270002 3.0270002 ... 0.        0.        0.       ]
2024-08-29 23:57:24.107921,73,[-1.5840833 -1.5791714 -1.5742593 ...  0.         0.         0.       ],[-1.153133 -1.153133 -1.153133 ...  0.        0.        0.      ],[2.983 2.983 2.983 ... 0.    0.    0.   ]
2024-08-29 23:57:24.148158,75,[-1.6159456 -1.6109349 -1.605924  ...  0.         0.         0.       ],[-1.1763272 -1.1763272 -1.1763272 ...  0.         0.         0.       ],[3.0430002 3.0430002 3.0430002 ... 0.        0.        0.       ]
2024-08-29 23:57:24.189793,76,[-1.6159456 -1.6109349 -1.6138401 ...  0.         0.         0.       ],[-1.1763272 -1.1763272 -1.1821257 ...  0.         0.         0.       ],[3.0430002 3.0430002 3.058     ... 0.        0.        0.       ]
2024-08-29 23:57:24.230008,77,[-1.5761179 -1.5712306 -1.5663432 ...  0.         0.         0.       ],[-1.1473346 -1.1473346 -1.1473346 ...  0.         0.         0.       ],[2.9680002 2.9680002 2.9680002 ... 0.        0.        0.       ]
2024-08-29 23:57:24.269218,78,[-1.5920489 -1.5871123 -1.5821755 ...  0.         0.         0.       ],[-1.1589316 -1.1589316 -1.1589316 ...  0.         0.         0.       ],[2.9980001 2.9980001 2.9980001 ... 0.        0.        0.       ]
2024-08-29 23:57:24.305526,79,[-1.5994834 -1.5945238 -1.59748   ...  0.         0.         0.       ],[-1.1643435 -1.1643435 -1.170142  ...  0.         0.         0.       ],[3.012     3.012     3.0270002 ... 0.        0.        0.       ]
2024-08-29 23:57:24.347997,81,[-1.5994834 -1.5945238 -1.5895638 ...  0.         0.         0.       ],[-1.1643435 -1.1643435 -1.1643435 ...  0.         0.         0.       ],[3.012 3.012 3.012 ... 0.    0.    0.   ]
2024-08-29 23:57:24.389140,82,[-1.607449  -1.6024647 -1.605924  ...  0.         0.         0.       ],[-1.170142  -1.170142  -1.1763272 ...  0.         0.         0.       ],[3.0270002 3.0270002 3.0430002 ... 0.        0.        0.       ]
2024-08-29 23:57:24.429704,83,[-1.6239111 -1.6188757 -1.6217563 ...  0.         0.         0.       ],[-1.1821257 -1.1821257 -1.1879243 ...  0.         0.         0.       ],[3.058     3.058     3.0730002 ... 0.        0.        0.       ]
2024-08-29 23:57:24.469214,84,[-1.607449  -1.6024647 -1.59748   ...  0.         0.         0.       ],[-1.170142 -1.170142 -1.170142 ...  0.        0.        0.      ],[3.0270002 3.0270002 3.0270002 ... 0.        0.        0.       ]
2024-08-29 23:57:24.509160,85,[-1.607449  -1.6024647 -1.605924  ...  0.         0.         0.       ],[-1.170142  -1.170142  -1.1763272 ...  0.         0.         0.       ],[3.0270002 3.0270002 3.0430002 ... 0.        0.        0.       ]
2024-08-29 23:57:24.552396,86,[-1.5686834 -1.5638192 -1.5589548 ...  0.         0.         0.       ],[-1.1419226 -1.1419226 -1.1419226 ...  0.         0.         0.       ],[2.9540002 2.9540002 2.9540002 ... 0.        0.        0.       ]
2024-08-29 23:57:24.595124,88,[-1.6403733 -1.6352868 -1.6386441 ...  0.         0.         0.       ],[-1.1941093 -1.1941093 -1.2002944 ...  0.         0.         0.       ],[3.0890002 3.0890002 3.1050003 ... 0.        0.        0.       ]
2024-08-29 23:57:24.635240,89,[-1.607449  -1.6024647 -1.605924  ...  0.         0.         0.       ],[-1.170142  -1.170142  -1.1763272 ...  0.         0.         0.       ],[3.0270002 3.0270002 3.0430002 ... 0.        0.        0.       ]
2024-08-29 23:57:24.675437,90,[-1.6159456 -1.6109349 -1.6138401 ...  0.         0.         0.       ],[-1.1763272 -1.1763272 -1.1821257 ...  0.         0.         0.       ],[3.0430002 3.0430002 3.058     ... 0.        0.        0.       ]
2024-08-29 23:57:24.718375,92,[-1.5994834 -1.5945238 -1.5895638 ...  0.         0.         0.       ],[-1.1643435 -1.1643435 -1.1643435 ...  0.         0.         0.       ],[3.012 3.012 3.012 ... 0.    0.    0.   ]
2024-08-29 23:57:24.759400,93,[-1.5994834 -1.5945238 -1.59748   ...  0.         0.         0.       ],[-1.1643435 -1.1643435 -1.170142  ...  0.         0.         0.       ],[3.012     3.012     3.0270002 ... 0.        0.        0.       ]
